Bounding box: [[0.728515625, 0.0], [0.79296875, 0.0], [0.79296875, 0.03515625], [0.728515625, 0.03515625]], Text: 60
Bounding box: [[0.724609375, 0.060546875], [0.796875, 0.060546875], [0.796875, 0.12109375], [0.724609375, 0.12109375]], Text: 66
Bounding box: [[0.001953125, 0.14453125], [0.1484375, 0.14453125], [0.1484375, 0.197265625], [0.001953125, 0.197265625]], Text: tacks
Bounding box: [[0.724609375, 0.140625], [0.794921875, 0.140625], [0.794921875, 0.197265625], [0.724609375, 0.197265625]], Text: 69
Bounding box: [[0.0, 0.2265625], [0.27734375, 0.2265625], [0.27734375, 0.2734375], [0.0, 0.2734375]], Text: ve Attacks
Bounding box: [[0.72265625, 0.216796875], [0.796875, 0.216796875], [0.796875, 0.27734375], [0.72265625, 0.27734375]], Text: 73
Bounding box: [[0.724609375, 0.294921875], [0.794921875, 0.294921875], [0.794921875, 0.35546875], [0.724609375, 0.35546875]], Text: 75
Bounding box: [[0.001953125, 0.4453125], [0.224609375, 0.44140625], [0.224609375, 0.49609375], [0.001953125, 0.5]], Text: graphy
Bounding box: [[0.71484375, 0.435546875], [0.796875, 0.435546875], [0.796875, 0.5], [0.71484375, 0.5]], Text: 77
Bounding box: [[0.00390625, 0.5234375], [0.486328125, 0.52734375], [0.486328125, 0.57421875], [0.00390625, 0.5703125]], Text: um Cryptography
Bounding box: [[0.724609375, 0.515625], [0.794921875, 0.515625], [0.794921875, 0.57421875], [0.724609375, 0.57421875]], Text: 79
Bounding box: [[0.72265625, 0.59375], [0.796875, 0.59375], [0.796875, 0.654296875], [0.72265625, 0.654296875]], Text: 83
Bounding box: [[0.72265625, 0.673828125], [0.796875, 0.673828125], [0.796875, 0.73046875], [0.72265625, 0.73046875]], Text: 85
Bounding box: [[0.72265625, 0.751953125], [0.796875, 0.751953125], [0.796875, 0.80859375], [0.72265625, 0.80859375]], Text: 86
Bounding box: [[0.72265625, 0.830078125], [0.796875, 0.830078125], [0.796875, 0.88671875], [0.72265625, 0.88671875]], Text: 87
