Bounding box: [[0.60546875, 0.083984375], [0.650390625, 0.083984375], [0.650390625, 0.130859375], [0.60546875, 0.130859375]], Text: 2
Bounding box: [[0.6796875, 0.083984375], [0.994140625, 0.083984375], [0.994140625, 0.130859375], [0.6796875, 0.130859375]], Text: On the Se
Bounding box: [[0.69921875, 0.162109375], [0.998046875, 0.162109375], [0.998046875, 0.208984375], [0.69921875, 0.208984375]], Text: tum' Eav
Bounding box: [[0.703125, 0.240234375], [0.78515625, 0.240234375], [0.78515625, 0.287109375], [0.703125, 0.287109375]], Text: 2.1
Bounding box: [[0.84375, 0.236328125], [0.998046875, 0.2421875], [0.99609375, 0.291015625], [0.841796875, 0.28515625]], Text: Priva
Bounding box: [[0.703125, 0.318359375], [0.783203125, 0.318359375], [0.783203125, 0.36328125], [0.703125, 0.36328125]], Text: 2.2
Bounding box: [[0.84375, 0.314453125], [0.998046875, 0.318359375], [0.998046875, 0.3671875], [0.841796875, 0.36328125]], Text: Can a
Bounding box: [[0.703125, 0.3984375], [0.78515625, 0.3984375], [0.78515625, 0.443359375], [0.703125, 0.443359375]], Text: 2.3
Bounding box: [[0.845703125, 0.396484375], [0.99609375, 0.396484375], [0.99609375, 0.4453125], [0.845703125, 0.4453125]], Text: The (
Bounding box: [[0.703125, 0.474609375], [0.78515625, 0.474609375], [0.78515625, 0.521484375], [0.703125, 0.521484375]], Text: 2.4
Bounding box: [[0.837890625, 0.47265625], [0.998046875, 0.47265625], [0.998046875, 0.521484375], [0.837890625, 0.521484375]], Text: Colle
Bounding box: [[0.703125, 0.5546875], [0.787109375, 0.5546875], [0.787109375, 0.6015625], [0.703125, 0.6015625]], Text: 2.5
Bounding box: [[0.83984375, 0.552734375], [0.99609375, 0.552734375], [0.99609375, 0.6015625], [0.83984375, 0.6015625]], Text: An A
Bounding box: [[0.603515625, 0.6953125], [0.998046875, 0.69140625], [0.998046875, 0.73828125], [0.603515625, 0.7421875]], Text: 3 The Parit
Bounding box: [[0.703125, 0.771484375], [0.783203125, 0.771484375], [0.783203125, 0.818359375], [0.703125, 0.818359375]], Text: 3.1
Bounding box: [[0.837890625, 0.765625], [0.998046875, 0.7734375], [0.998046875, 0.822265625], [0.8359375, 0.814453125]], Text: Densi
Bounding box: [[0.701171875, 0.849609375], [0.791015625, 0.849609375], [0.791015625, 0.900390625], [0.701171875, 0.900390625]], Text: 3.2
Bounding box: [[0.767578125, 0.8515625], [0.998046875, 0.8515625], [0.998046875, 0.8984375], [0.767578125, 0.8984375]], Text: Optin
Bounding box: [[0.701171875, 0.9296875], [0.78515625, 0.9296875], [0.78515625, 0.982421875], [0.701171875, 0.982421875]], Text: 3.3
Bounding box: [[0.849609375, 0.92578125], [0.998046875, 0.9296875], [0.998046875, 0.978515625], [0.84765625, 0.974609375]], Text: Inforr
